day,avg_request_to_pickup
07,233.25699185710533
15,268.5346481777792
11,224.40468798627612
29,254.2460334757214
30,227.33985420001852
01,396.5318744409635
22,277.49287089443135
28,254.6833639623887
16,251.55102299494047
31,248.65506923045416
18,231.90770494488552
27,236.93431696586904
17,240.5772885527869
26,242.56764282565965
09,229.265944341545
05,226.08877381422872
19,272.02203820618143
23,247.32448989998323
08,246.41358687741243
03,235.68026834234155
25,261.2912811176952
02,246.05148716456986
06,230.35306927438575
24,234.81737623786302
20,243.43761253646377
10,225.65276195086662
12,255.17599322195403
04,228.85434668408274
13,239.22308233638282
14,247.49345781069232
21,266.6804386133228
